Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Gesamt_Fehlwerte;Beschreibung;eor;                                                                                                              
1420;Frankfurt/Main;V_N;01.01.1949;29.03.2022;913;Gesamt_Messzeitraum;eor;                                                                                                                              
Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
1420;Frankfurt/Main;V_N;22.09.1949-05:00;22.09.1949-05:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;09.04.1950-13:00;09.04.1950-13:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;30.05.1980-08:00;30.05.1980-08:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;01.01.1981-04:00;01.01.1981-04:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;03.01.1981-10:00;03.01.1981-10:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;03.01.1981-22:00;03.01.1981-22:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;06.01.1981-11:00;06.01.1981-11:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;07.01.1981-02:00;07.01.1981-02:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;08.01.1981-20:00;08.01.1981-20:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;12.01.1981-02:00;12.01.1981-02:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;20.01.1981-04:00;20.01.1981-04:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;23.01.1981-11:00;23.01.1981-11:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;26.01.1981-17:00;26.01.1981-17:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;27.01.1981-07:00;27.01.1981-07:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;27.01.1981-11:00;27.01.1981-11:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;01.02.1981-02:00;01.02.1981-02:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;04.02.1981-11:00;04.02.1981-11:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;06.02.1981-00:00;06.02.1981-00:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;11.02.1981-01:00;11.02.1981-01:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;13.02.1981-13:00;13.02.1981-13:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;14.02.1981-23:00;14.02.1981-23:00;1;;eor;                                                                                                                                       
